Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
364,Ron Villone,-,-,-,1,2001,2001,0,1,3,.250,6.36,22,6,6,0,0,0,46.2,56,35,33,6,29,4,48,1,0,2,222,84,villoro01
365,Luis Vizcaíno,-,-,-,1,2008,2008,0,1,2,.333,5.28,43,0,13,0,0,0,46.0,48,28,27,10,19,1,49,1,0,0,203,89,vizcalu01
366,Victor Vodnik,S,C,F,2,2023,2024,0,5,3,.625,4.72,64,0,21,0,0,9,76.1,83,43,40,6,36,1,72,1,0,4,338,99,vodnivi01
367,Chris Volstad,-,-,-,1,2013,2013,0,0,0,,10.80,6,0,1,0,0,0,8.1,19,10,10,1,1,0,3,2,0,0,47,43,volstch01
368,Dave Wainhouse,-,-,-,2,1998,1999,0,1,0,1.000,6.35,29,0,14,0,0,0,39.2,52,28,28,7,21,0,21,2,0,2,182,90,wainhda01
369,Pete Walker,-,-,-,1,2000,2000,0,0,0,,17.36,3,0,1,0,0,0,4.2,10,9,9,1,4,0,2,0,0,0,27,35,walkepe01
370,Bruce Walton,-,-,F,1,1994,1994,0,1,0,1.000,8.44,4,0,2,0,0,0,5.1,6,5,5,1,3,1,1,0,1,0,26,62,waltobr01
371,John Wasdin,-,-,-,2,2000,2001,0,2,4,.333,6.30,32,3,4,1,0,0,60.0,74,42,42,13,17,4,52,4,0,3,264,90,wasdijo01
372,Gary Wayne,-,-,-,1,1993,1993,0,5,3,.625,5.05,65,0,21,0,0,1,62.1,68,40,35,8,26,8,49,1,1,9,283,95,waynega01
373,Kip Wells,-,-,-,1,2008,2008,0,1,2,.333,5.27,15,2,6,0,0,0,27.1,29,19,16,3,19,2,22,1,0,2,126,90,wellski01
374,Turk Wendell,-,-,F,1,2004,2004,0,0,0,,7.02,12,0,5,0,0,0,16.2,21,13,13,4,12,1,11,2,0,1,80,71,wendetu01
375,Alex White,-,-,F,2,2011,2012,0,4,13,.235,6.30,30,27,0,0,0,0,134.1,162,101,94,25,67,10,88,9,0,11,630,73,whiteal01
376,Gabe White,-,-,-,2,2000,2001,0,12,9,.571,4.00,136,0,33,0,0,5,150.2,132,68,67,23,40,7,129,4,0,2,613,140,whitega01
377,Rick White,-,-,-,1,2002,2002,0,2,6,.250,6.20,41,0,8,0,0,0,40.2,49,30,28,4,18,4,27,1,0,3,182,78,whiteri01
378,Randy Williams,-,-,-,1,2005,2005,0,2,1,.667,5.73,30,0,6,0,0,0,22.0,26,15,14,4,9,3,19,0,0,0,100,85,willira01
379,Jay Witasick,-,-,-,1,2005,2005,0,0,4,.000,2.52,32,0,7,0,0,0,35.2,27,11,10,2,12,3,40,3,0,2,148,191,witasja01
380,Jamey Wright,S,-,-,6,1996,2005,0,35,52,.402,5.40,140,132,1,2,0,0,791.2,931,526,475,91,387,17,381,54,9,21,3589,95,wrighja01
381,Masato Yoshii,-,-,-,1,2000,2000,0,6,15,.286,5.86,29,29,0,0,0,0,167.1,201,112,109,32,53,6,88,2,1,2,726,99,yoshima01
382,Jason Young,S,C,F,2,2003,2004,0,0,3,.000,9.71,10,5,1,0,0,0,29.2,49,34,32,11,14,1,25,1,0,3,153,52,youngja01
383,Todd Zeile,-,-,-,1,2002,2002,0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,3,,zeileto01
